city,temp,temp_max,temp_min,lon,lat
Estigarde,3.44,6.13,-0.58,-0.11423000000000001,44.0284
Estillac,6.0,8.08,4.71,0.56383,44.157661
Estissac,1.86,4.32,1.4,3.8051500000000003,48.269199
Estivareilles,-0.72,0.81,-0.72,2.61828,46.425331
Estos,0.86,3.3,0.71,-0.61667,43.216671
Estrablin,1.31,2.08,0.09,4.96626,45.517319
Estry,4.08,4.1,4.07,-0.73548,48.89703
Estrées-la-Campagne,4.9,5.85,4.79,-0.23492000000000002,49.01292
Estérençuby,1.77,5.55,-0.76,-1.18333,43.099998
Esvres,3.28,3.48,2.12,0.78588,47.28537
Etaux,0.76,2.67,-4.31,6.3,46.066669
Etcharry,2.9,7.57,1.26,-0.92854,43.32225
Etsaut,-2.95,-1.75,-2.95,-0.56667,42.916672
Etzling,2.53,4.53,1.12,6.96138,49.178558
Eu,6.87,6.91,5.93,1.42079,50.046059
Eugénie-les-Bains,2.33,6.21,0.72,-0.37834,43.696339
Eulmont,3.13,5.57,1.16,6.22593,48.75174
Eurre,1.16,2.9,-0.66,4.99099,44.76088
Euville,4.42,5.67,1.26,5.62603,48.750301
Euvy,-0.9,0.63,-0.9,2.84186,46.727501
Excideuil,5.75,11.54,5.75,1.04754,45.336361
Exincourt,3.33,5.57,1.21,6.83169,47.494652
Exireuil,1.35,2.36,1.14,-0.19252000000000002,46.433819
Eybens,0.93,6.01,-1.96,5.74926,45.14867
Eygurande-et-Gardedeuil,3.02,6.46,-2.03,0.13333,45.066669
Eymet,1.95,6.44,-2.05,0.39961,44.668121
Eymoutiers,9.79,9.79,9.79,1.7418900000000002,45.7379
Eynesse,5.54,6.68,3.75,0.15488000000000002,44.825371
Eyragues,1.01,4.72,-2.94,4.84231,43.84103
Eyrans,4.39,4.46,0.98,-0.61692,45.187908
Eysines,4.21,4.43,-1.03,-0.6468600000000001,44.883518
Eysus,0.05,1.25,0.05,-0.58333,43.133331
Eyvirat,4.5,11.29,-3.01,0.7528800000000001,45.322479
Eyzin-Pinet,0.93,1.6,-0.38,4.99841,45.472408
Fabregas,8.04,12.05,-0.13,5.8718900000000005,43.071739
Fabrezan,5.92,8.94,4.77,2.69814,43.135811
Faches-Thumesnil,5.67,7.21,4.47,3.0666700000000002,50.583328
Falaise,4.51,4.98,4.51,-0.19527000000000003,48.89217
Falck,3.48,5.98,1.41,6.63497,49.231339
Faleyras,4.19,5.67,-2.17,-0.22612000000000002,44.771278
Falicon,7.74,11.17,1.83,7.27764,43.74786
Falleron,4.22,5.01,3.37,-1.70208,46.881599
Fals,6.91,8.01,4.04,0.6744300000000001,44.093311
Famars,4.68,6.22,3.92,3.51945,50.317429
Fameck,4.18,6.18,1.61,6.1086,49.303349
Familly,4.72,5.08,4.01,0.35399,48.962379
Fampoux,5.67,6.65,4.23,2.8731,50.301731
Fanlac,5.55,5.7,-3.08,1.09585,45.065811
Faramans,0.4,3.12,-0.88,5.16615,45.391609
Fareille,-1.75,-1.75,-1.75,2.45182,46.380501
Fareins,1.12,3.01,-0.4,4.75993,46.017929
Faremoutiers,3.11,5.04,2.14,2.99607,48.799622
Farge,-1.06,-1.06,-1.06,3.6563,45.087521
Farges,-0.54,-0.54,-0.54,2.91119,45.13377
Fargues-Saint-Hilaire,3.92,5.58,-1.39,-0.44676000000000005,44.82304
Fargues-sur-Ourbise,3.95,7.16,-0.42,0.15626,44.23885
Farnay,-0.17,1.4,-1.3,4.59643,45.492908
Farschviller,2.71,4.81,1.07,6.89534,49.094238
Fauguernon,5.08,5.69,3.99,0.2732,49.19154
Fauguerolles,4.22,6.67,-1.89,0.24979,44.44207
Fauillet,4.08,6.66,-1.91,0.29079000000000005,44.42646
Faulquemont,2.65,5.7,1.13,6.60314,49.047112
Faulx,3.19,5.62,1.22,6.19448,48.793961
Faumont,5.37,7.21,4.11,3.13713,50.460178
Fauroux,-0.33,-0.33,-0.33,2.66603,45.245941
Fauville-en-Caux,5.1,5.66,4.1,0.59197,49.652569
Faverges,1.92,4.18,1.62,6.29297,45.74752
Faverges-de-la-Tour,1.21,3.12,-0.71,5.5226500000000005,45.590961
Faverney,-1.71,3.62,-1.71,6.10428,47.767132
Faverolles-sur-Cher,2.52,3.28,1.92,1.19045,47.317322
Fay-aux-Loges,1.7,2.77,0.56,2.14012,47.927238
Fay-de-Bretagne,4.85,5.01,4.32,-1.79155,47.414532
Fay-sur-Lignon,-4.77,-4.58,-4.87,4.22644,44.985538
Faye de Port,10.86,10.86,4.51,1.0936,45.53204
Fayence,4.4,9.96,-1.88,6.69531,43.625702
Fayl-Billot,-2.3,2.87,-2.46,5.59917,47.78199
Fayolle,3.88,5.58,-2.35,0.33333,45.283329
Fegersheim,0.31,3.33,-2.06,7.68107,48.490162
Feignies,4.31,5.35,3.17,3.91534,50.298061
Feillens,0.0,3.42,-0.93,4.88863,46.335152
Fellering,0.49,1.6,-1.31,6.98552,47.896591
Felletin,2.61,2.61,2.61,2.17431,45.883331
Fenain,5.23,6.54,4.23,3.3,50.366669
Feneu,4.03,4.36,3.82,-0.5942200000000001,47.572109
Fenouillet,5.7,8.38,5.17,1.392,43.680408
Ferdrupt,-1.04,2.12,-3.24,6.70936,47.906792
Fermanville,6.76,6.76,6.76,-1.46284,49.686729
Ferney-Voltaire,2.27,3.77,-3.2,6.1106300000000005,46.258579
Ferques,6.73,7.53,5.53,1.75994,50.830021
Ferrals-les-Corbières,5.34,8.99,4.34,2.73333,43.150002
Ferrette,0.22,2.23,-2.32,7.31937,47.491959
Ferrières-sur-Sichon,-2.12,0.93,-4.31,3.64783,46.024158
Fervaches,4.83,4.85,4.82,-1.08541,48.995201
Fervaques,5.62,5.92,4.82,0.25396,49.040619
Fessenheim,1.53,3.12,-0.12,7.53698,47.917439
Festalemps,3.87,5.67,-2.26,0.23333,45.23333
Festubert,6.21,7.67,5.44,2.73593,50.5425
Feucherolles,3.56,5.05,2.11,1.97402,48.870022
Feuchy,5.68,6.62,4.2,2.84335,50.294392
Feugarolles,3.19,8.69,-0.19,0.34706000000000004,44.22176
Feuguerolles-sur-Seulles,4.84,5.31,4.84,-0.67154,49.113461
Feurs,0.06,2.05,-0.65,4.22706,45.73988
Fey,-2.45,-2.45,-2.45,4.20622,45.243591
Feytiat,10.45,10.45,10.45,1.33033,45.809052
Feyzin,2.17,3.05,0.35,4.85971,45.667278
Fierville-Bray,5.29,6.23,5.14,-0.18333000000000002,49.066669
Fierville-les-Mines,5.91,7.26,5.05,-1.6697600000000001,49.390591
Figari,7.45,7.45,5.42,9.1295,41.488201
Figeac,-0.37,3.98,-0.37,2.03333,44.599998
Fillinges,1.18,2.96,-3.23,6.34237,46.159439
Finhan,6.73,7.82,3.59,1.2212,43.913349
Firfol,5.06,5.55,3.99,0.31984,49.154129
Firmi,1.31,6.33,0.18,2.30764,44.541061
Firminy,-0.8,1.01,-1.76,4.2907399999999996,45.387321
Fismes,4.32,4.72,2.66,3.68607,49.307732
Fitilieu,1.2,5.07,-0.61,5.56194,45.54744
Fitz-James,4.74,6.59,3.21,2.4307,49.391129
Flaine,-7.44,-4.52,-10.89,6.68956,46.006561
Flamanville,6.06,7.16,5.05,-1.8656000000000001,49.532742
Flaminge,-2.85,-2.85,-3.82,4.28579,45.230652
Flassans-sur-Issole,1.55,10.04,-1.09,6.22363,43.370201
Flaugeac,0.94,5.49,-2.49,0.44320000000000004,44.748112
Flaujagues,5.35,6.19,4.23,0.05,44.833328
Flaviac,1.65,3.38,1.65,4.67434,44.747768
Flavignac,10.28,10.29,0.46,1.0924,45.70396
Flavigny-sur-Moselle,2.64,5.48,-1.95,6.19113,48.564121
Flavin,-1.93,3.61,-2.53,2.60513,44.288898
Flavy-le-Martel,5.25,5.85,5.25,3.1915,49.71299
Flaxlanden,1.62,2.65,-0.58,7.31343,47.694931
Flayat,-4.77,-4.7,-4.84,2.38144,45.774261
Flayosc,2.18,9.58,-1.55,6.39401,43.532532
Flers,4.13,4.14,4.12,-0.5746600000000001,48.737221
Flers-en-Escrebieux,5.52,6.82,4.21,3.06842,50.388859
Flesselles,5.72,6.17,4.9,2.26119,50.002022
Fleurance,7.15,8.36,3.02,0.66302,43.84824
Fleurbaix,6.13,7.68,5.44,2.83305,50.650612
Fleurey-sur-Ouche,0.51,1.58,-1.62,4.85911,47.311821
Fleurie,0.28,2.59,-1.76,4.69733,46.192081
Fleuriel,-1.02,2.21,-2.27,3.17675,46.28141
Fleurines,3.44,5.14,2.24,2.58405,49.26318
Fleury,3.27,7.99,0.89,3.13745,43.230949
Fleury-les-Aubrais,1.81,3.05,0.48,1.91811,47.933281
Fleury-sur-Andelle,5.49,6.41,3.35,1.35599,49.361759
Fleury-sur-Orne,5.37,5.9,5.29,-0.37508,49.14851
Flines-lez-Raches,5.41,7.34,4.24,3.18333,50.416672
Flins-sur-Seine,4.01,5.65,2.83,1.87314,48.965229
Flixecourt,6.69,6.9,5.59,2.08095,50.014648
Flize,4.66,4.78,0.98,4.771710000000001,49.69875
Flogny-la-Chapelle,1.88,1.88,1.42,3.86667,47.950001
Floing,4.73,5.21,3.72,4.92947,49.72216
Floirac,4.12,6.04,-1.25,-0.5141100000000001,44.832378
Florac,4.23,4.23,4.23,3.6,44.316669
Florange,4.18,6.25,1.68,6.1212,49.32373
Florensac,2.02,4.71,1.93,3.46638,43.383011
Flottemanville,6.69,6.71,5.31,-1.4544000000000001,49.473221
Flottemanville-Hague,5.92,6.89,4.54,-1.72242,49.621498
Flourens,5.35,7.96,4.51,1.5625900000000001,43.592731
Foissiat,-0.57,0.83,-1.23,5.17573,46.370079
Foix,1.51,6.43,-1.05,1.6,42.966671
Folelli,7.05,9.23,5.81,9.50978,42.444599
Folembray,4.25,5.25,3.55,3.29118,49.543339
Folkling,2.78,4.59,1.18,6.895,49.147202
Follainville-Dennemont,3.58,5.89,2.31,1.71331,49.021938
Folschviller,2.96,5.56,0.44,6.68948,49.070621
Fonbeauzard,5.55,8.34,5.13,1.4344000000000001,43.678299
Fondettes,3.1,3.53,2.8,0.5968600000000001,47.4035
Fongrave,3.31,7.1,-2.16,0.4,44.533329
Fonqueyrade,1.49,5.53,-2.4,0.72697,44.679722
Fonsorbes,5.37,7.87,4.66,1.22937,43.53524
Fontaine,0.61,6.18,-3.87,6.99822,47.659569
Fontaine-Henry,5.27,5.75,5.25,-0.45192000000000004,49.275558
Fontaine-Notre-Dame,5.27,6.51,3.9,3.15812,50.166809
Fontaine-au-Pire,4.66,5.57,3.62,3.37667,50.1325
Fontaine-la-Guyon,2.64,4.79,0.68,1.31417,48.472698
Fontaine-la-Mallet,5.46,6.23,5.18,0.14625000000000002,49.535999
Fontaine-le-Bourg,5.3,6.05,4.36,1.16391,49.56451
Fontaine-le-Comte,1.94,2.38,1.15,0.26176000000000005,46.532169
Fontaine-le-Dun,5.67,6.14,4.58,0.8509500000000001,49.811821
Fontaine-le-Pin,4.35,4.79,4.28,-0.28308,48.973579
Fontaine-sous-Préaux,5.38,6.15,4.45,1.16728,49.484051
Fontaine-Étoupefour,5.18,5.69,5.11,-0.45,49.150002
Fontainebleau,3.23,5.37,1.58,2.7,48.400002
Fontaines,0.37,2.13,-1.07,4.77036,46.849049
Fontaines-Saint-Martin,1.51,2.88,-0.54,4.85489,45.84478
Fontanil-Cornillon,1.35,6.24,-2.29,5.66434,45.248081
Fontannes,-4.23,-4.23,-4.23,3.7636600000000002,45.301491
Fontcouverte,0.78,2.71,0.75,-0.58682,45.767078
Fontenai-les-Louvets,1.92,1.94,1.91,0.00019,48.525688
Fontenailles,2.05,5.17,0.78,3.4621500000000003,47.549881
Fontenay,5.41,6.17,5.08,0.1839,49.559929
Fontenay-Mauvoisin,3.54,5.81,2.14,1.6528800000000001,48.965111
Fontenay-aux-Roses,3.59,4.63,1.72,2.29275,48.793251
Fontenay-de-Bossery,2.2,3.15,1.77,3.45534,48.453629
Fontenay-en-Parisis,3.46,5.18,1.73,2.45156,49.053711
Fontenay-le-Comte,2.43,3.34,1.85,-0.8166700000000001,46.466671
Fontenay-le-Fleury,3.59,5.11,1.62,2.04863,48.812531
Fontenay-le-Marmion,5.05,5.6,4.93,-0.35294000000000003,49.09346
Fontenay-le-Pesnel,4.91,5.38,4.9,-0.5792700000000001,49.170929
Fontenay-le-Vicomte,3.75,5.46,1.62,2.39902,48.547649
Fontenay-sous-Bois,3.62,4.77,1.9,2.48268,48.85442
Fontenay-sur-Loing,1.36,3.03,0.7,2.77542,48.103649
Fontenermont,4.05,4.08,4.02,-1.105,48.82357
Fontenilles,5.61,7.86,4.66,1.19096,43.55286
Fontfreide,-5.36,-5.36,-5.36,3.00292,45.70311
Fontoy,3.79,5.48,1.46,5.99936,49.356239
Fontvieille,2.0,4.77,-2.89,4.70953,43.728062
Forbach,3.28,5.16,1.47,6.9,49.183331
Forcalqueiret,2.86,9.66,-1.47,6.08238,43.334709
Forcalquier,2.43,2.43,-4.35,5.78333,43.966671
Forest-sur-Marque,5.75,7.31,4.39,3.18939,50.633411
Forges-les-Bains,3.48,4.47,1.66,2.10264,48.629421
Forges-les-Eaux,5.05,6.01,3.9,1.5444900000000001,49.613911
Formentin,5.15,5.73,4.6,0.14054,49.19701
Formerie,4.85,5.51,3.49,1.73106,49.649281
Fors,2.07,2.8,0.83,-0.40904,46.235699
Fort-Mahon-Plage,6.94,6.95,6.46,1.55984,50.33955
Fort-Mardyck,6.86,7.77,5.98,2.30724,51.028992
Fortschwihr,1.33,3.27,-1.1,7.45054,48.086472
Forville,-0.84,0.97,-2.85,6.6239,44.913849
Fos-sur-Mer,1.2,4.86,-2.85,4.944570000000001,43.43774
Fossemagne,4.77,4.83,-3.23,0.9854900000000001,45.127209
Fosses,3.32,5.08,1.62,2.50957,49.09808
Fossès-et-Baleyssac,4.37,5.92,-2.14,0.05,44.583328
Fouacé,2.95,2.95,2.95,0.18863000000000002,48.574242
Foucarmont,6.05,6.12,4.1,1.5689899999999999,49.846821
Foucherans,0.78,2.04,-2.27,5.45503,47.08094
Fouesnant,6.15,7.11,5.18,-4.01484,47.891869
Foug,3.86,4.97,0.57,5.78691,48.68375
Fougerolles,-2.29,3.03,-2.3,6.40454,47.885422
Fougerolles-du-Plessis,3.47,3.47,3.47,-0.97255,48.474239
Fougueyrolles,5.0,5.55,3.6,0.16667,44.866669
Fougères,4.17,4.51,3.91,-1.2,48.349998
Fouillard,4.48,4.88,4.12,-1.5791400000000002,48.158199
Foulayronnes,1.7,7.4,-0.66,0.6451600000000001,44.240292
Fouleix,2.5,5.12,-2.9,0.68105,44.98415
Foulognes,4.69,4.69,4.68,-0.8188200000000001,49.14093
Fouquereuil,6.01,7.58,4.52,2.60024,50.518848
Four,1.18,3.39,-0.72,5.19499,45.58696
Fouras,3.02,3.02,2.48,-1.09275,45.987358
Fourchambault,-0.02,-0.02,-1.1,3.08333,47.01667
Fourmies,4.19,4.86,2.9,4.04784,50.01532
Fournes-en-Weppes,5.56,7.53,4.47,2.88793,50.584969
Fourneville,5.06,5.71,4.09,0.24042000000000002,49.35664
Fournier,-7.15,-3.68,-7.15,3.65,45.583328
Fournols,-7.42,-3.93,-7.43,3.58861,45.517448
Fourques,2.19,4.84,-2.82,4.60932,43.6945
Fourques-sur-Garonne,4.69,6.11,-1.84,0.15703,44.447979
Fourqueux,3.6,5.15,1.7,2.06367,48.886929
Frahier-et-Chatebier,-1.8,1.8,-2.93,6.75,47.666672
Fraisans,-0.54,1.95,-2.36,5.76051,47.148571
Fraisses,-2.1,-0.33,-3.03,4.25,45.383331
Fraize,-1.01,1.09,-3.75,6.99786,48.1866
Francescas,5.77,7.68,4.22,0.42834000000000005,44.064079
Francheleins,0.94,2.9,-0.51,4.8092,46.074402
Franchesse,-1.97,-0.88,-1.98,3.03562,46.635811
Francheville,2.84,5.29,-0.46,4.7721800000000005,45.738789
Franconville,3.79,5.39,1.94,2.23333,48.98333
Francueil,2.85,3.4,1.02,1.08399,47.31282
Frangy,2.58,4.31,-3.22,5.93313,46.0187
Franois,-1.8,1.66,-2.65,5.9286900000000005,47.230549
Franqueville-Saint-Pierre,4.75,5.67,3.92,1.1807,49.401001
Frans,1.23,2.95,-0.46,4.77582,45.992278999999996
Frasne,-1.79,3.08,-6.47,6.1594,46.856411
Freissinières,-1.73,1.62,-2.04,6.53333,44.75
Frelinghien,5.9,7.69,4.63,2.93333,50.716671
Freneuse,4.43,6.53,2.91,1.60168,49.048321
Frenière Grand,-3.41,-2.46,-3.41,2.91667,46.349998
Fresnay-sur-Sarthe,4.04,4.04,4.04,0.02288,48.28199
Fresnes,3.94,5.52,2.51,2.32241,48.75568
Fresnes-sur-Escaut,5.16,7.32,4.01,3.57752,50.433819
Fresney-le-Puceux,5.08,5.6,4.99,-0.36970000000000003,49.062721
Fresnoy-le-Grand,5.13,5.58,3.82,3.41841,49.947570999999996
Fresné-la-Mère,4.95,5.91,4.88,-0.12149000000000001,48.893429
Frespech,1.92,7.7,-3.0,0.8256,44.309528
Fresse-sur-Moselle,-0.47,0.96,-1.88,6.78589,47.875889
Fressenneville,6.35,6.39,6.35,1.57816,50.068378
Fresville,7.75,7.81,5.36,-1.35583,49.438568
Fretin,5.56,7.26,4.34,3.13668,50.557449
Freyming-Merlebach,3.14,5.02,1.33,6.78333,49.150002
Frignicourt,4.25,5.21,2.05,4.59153,48.699661
Friville-Escarbotin,6.45,6.49,6.44,1.5455999999999999,50.086021
Froges,2.75,6.02,-2.5,5.92159,45.27359
Froideconche,-2.24,3.09,-2.24,6.41522,47.821209
Froidfond,4.15,4.94,3.31,-1.7574,46.86898
Fromelennes,4.57,5.32,2.03,4.85952,50.123329
Froncles,2.8,4.66,2.13,5.14586,48.297562
Fronsac,3.74,6.25,-1.68,-0.26667,44.916672
Frontenat,-4.35,-4.35,-4.35,2.69938,46.220459
Frontenaud,-0.34,3.84,-1.12,5.2923,46.552479
Frontenay-Rohan-Rohan,2.32,2.99,1.02,-0.5383300000000001,46.252762
Frontenex,3.73,5.41,2.85,6.31667,45.633331
Frontignan,1.67,3.55,1.05,3.754,43.448479
Fronton,5.56,8.26,5.05,1.38931,43.83931
Frontonas,2.1,4.12,-0.53,5.18341,45.64782
Frossay,4.91,5.16,4.85,-1.9355700000000002,47.244511
Frouard,2.83,5.25,0.84,6.13163,48.759979
Frouzins,5.21,8.06,4.85,1.32523,43.51482
Frugerès-les-Mines,-3.58,-3.58,-3.58,3.3166700000000002,45.383331
Fruges,6.15,7.16,4.1,2.13292,50.515011
Frugières-le-Pin,-4.47,-1.11,-4.58,3.48706,45.267609
Fréchou,3.67,7.87,-0.31,0.32251,44.084881
Fréjus,5.12,10.0,-0.62,6.7333300000000005,43.433331
Frémigoux,2.6,4.45,2.6,2.25,45.25
Frênes,4.39,4.39,4.39,-0.6819000000000001,48.784641
Fublaines,3.62,4.6,2.25,2.93655,48.93816
Fugères,-1.62,-1.62,-1.62,3.94326,44.894741
Fumay,4.56,5.18,1.88,4.7077100000000005,49.991322
Fumel,1.94,6.56,-2.51,0.96506,44.498619
Fumichon,5.03,5.53,3.81,0.37133000000000005,49.173241
Furdenheim,0.75,2.75,-1.73,7.561,48.61129
Furiani,7.11,9.07,5.08,9.41469,42.658138
Fussy,-0.25,2.01,-0.95,2.42953,47.143719
Fuveau,-1.93,0.44,-3.31,5.56149,43.45578
Fère-Champenoise,3.66,5.14,1.97,3.98333,48.75
Féas,0.62,2.62,0.58,-0.6833300000000001,43.166672
Fécamp,5.38,6.42,5.1,0.36667000000000005,49.75
Féroussac,-2.97,-2.97,-6.43,3.67561,45.406181
Gaas,4.08,7.59,-0.08,-1.03576,43.613239
Gabarnac,4.39,5.7,-2.22,-0.27974000000000004,44.614429
Gabarret,3.4,7.46,-0.62,0.00978,43.987789
Gabas,-4.74,2.18,-4.89,-0.42769,42.888451
Gadencourt,4.45,6.21,2.73,1.40145,48.985821
Gageac-et-Rouillac,0.45,5.53,-2.67,0.7833300000000001,44.799999
Gagnac-sur-Garonne,5.69,8.39,5.19,1.37535,43.699902
Gagny,3.87,4.91,2.56,2.5333300000000003,48.883331
Gaillac,7.21,8.28,5.08,1.8968600000000002,43.9016
Gaillac-Toulza,3.03,7.6,1.53,1.47141,43.25536
Gaillan-en-Médoc,3.91,4.0,1.08,-0.9500000000000001,45.316669
Gaillard,2.35,3.84,-2.35,6.20693,46.185299
Gaillefontaine,5.05,5.85,3.48,1.6154700000000002,49.653709
Gaillon,5.15,6.54,3.48,1.34016,49.161041
Gaillères,1.4,5.51,-0.23,-0.37457,43.940922
Gainneville,5.17,5.88,4.32,0.26164000000000004,49.518452
Gajac,5.17,5.33,-2.47,-0.1311,44.436272
Galapian,2.59,6.77,-2.42,0.41369000000000006,44.298809
Galgon,3.67,6.11,-1.85,-0.26667,44.98333
Gallardon,3.31,4.53,2.26,1.69307,48.526218
Gallargues-le-Montueux,2.81,4.78,-2.88,4.16667,43.716671
Gallician,2.88,4.87,-2.79,4.298,43.64315
Galluis,3.44,4.47,2.19,1.79414,48.79657
Gamaches,6.78,6.82,5.67,1.55624,49.986141
Gamarde-les-Bains,3.26,7.53,-0.12,-0.8725200000000001,43.732899
Gamarthe,3.68,6.44,0.5,-1.14243,43.201141
Gambais,3.52,4.65,2.27,1.67196,48.77351
Gambsheim,0.85,3.09,-1.39,7.88286,48.692089
Gamilly,4.54,6.37,2.75,1.4837,49.082851
Gan,0.66,2.63,0.59,-0.38333,43.23333
Gandelain,2.52,2.54,2.51,-0.08802,48.479549
Gandrange,3.76,5.93,1.02,6.12249,49.27071
Ganges,0.98,2.56,0.98,3.70784,43.9338
Gannat,-3.12,-0.12,-3.12,3.19886,46.100151
Gannay-sur-Loire,3.26,3.27,0.79,3.61262,46.73119
Gannes,5.29,6.15,2.92,2.42111,49.569302
Gans,5.41,5.66,-2.34,-0.14661000000000002,44.456081
Gap,1.23,1.23,1.23,6.08333,44.566669
Garanou,1.08,4.85,-2.2,1.74987,42.767651
Garat,1.32,1.32,0.66,0.26667,45.633331
Garcelles-Secqueville,5.04,5.97,4.94,-0.28961000000000003,49.099072
Garches,3.35,5.03,1.9,2.18232,48.842258
Garchizy,-0.7,-0.24,-1.32,3.09625,47.047859
Gardanne,-1.62,0.76,-4.3,5.46913,43.45491
Gardegan-et-Tourtirac,3.96,5.85,2.9,-0.01667,44.900002
Gardonne,1.47,6.04,-1.88,0.35000000000000003,44.833328
Gardouch,6.21,7.97,4.76,1.68313,43.390961
Garein,2.02,7.4,-0.42,-0.6511100000000001,44.046638
Garennes-sur-Eure,4.16,6.16,2.67,1.43836,48.91116
Gargas,-3.36,2.97,-4.69,5.35781,43.901989
Gargenville,3.93,5.52,2.69,1.81176,48.988022
Garges-lès-Gonesse,3.92,5.45,2.55,2.39781,48.967911
Garidech,5.39,7.96,4.75,1.5603600000000002,43.710758
Garlin,1.15,5.75,-0.95,-0.27321,43.559269
Garlède-Mondebat,0.91,4.32,-1.03,-0.33333,43.5
Garnat-sur-Engièvre,3.13,3.21,0.61,3.6622500000000002,46.633331
Garnay,3.66,4.65,2.38,1.3370600000000001,48.704891
Garons,2.67,4.28,-3.4,4.42753,43.7686
Garos,1.18,4.39,-0.95,-0.46667000000000003,43.5
Garrey,3.7,7.8,0.14,-0.90912,43.669861
Garrosse,2.92,7.49,-0.31,-0.92766,44.01368
Gasny,4.47,6.48,2.86,1.60336,49.091839
Gassin,1.65,10.71,-1.42,6.5847999999999995,43.228741
Gastes,0.27,4.12,-0.04,-1.14691,44.326519
Gathemo,3.29,3.29,3.28,-0.9759900000000001,48.764969
Gatteville-le-Phare,7.81,7.82,7.81,-1.2845900000000001,49.6866
Gauchy,5.2,5.8,5.2,3.27371,49.827647999999996
Gaujac,5.54,5.93,-1.81,0.11138,44.489601
Gaujacq,2.98,7.64,-0.07,-0.7400300000000001,43.641041
Gauriac,3.45,3.73,0.82,-0.6136900000000001,45.065601
Gauriaguet,3.61,3.79,0.88,-0.39191000000000004,45.03904
Gavray,5.85,6.42,5.14,-1.35,48.916672
Gayon,1.39,5.87,-0.84,-0.16667,43.48333
Gazeran,3.21,4.29,2.02,1.77149,48.632641
Geffosses,6.19,7.73,5.35,-1.55877,49.131519
Geishouse,-1.69,-0.12,-4.52,7.05464,47.8834
Geispolsheim,1.32,2.77,-0.87,7.64667,48.516579
Gelles,-6.48,-6.47,-6.5,2.76347,45.769371
Gelos,1.06,3.05,1.01,-0.36667000000000005,43.283329
Geloux,2.24,7.57,-0.02,-0.6391,43.980961
Genas,1.86,4.0,-0.65,4.99943,45.732151
Genay,1.51,2.92,-0.5,4.83729,45.89764
Genech,5.17,7.21,4.29,3.21651,50.531219
Geneslay,3.77,3.77,3.77,-0.48151000000000005,48.510921
Geneston,4.84,5.02,3.38,-1.51139,47.056389
Genlis,1.16,2.12,-2.2,5.22415,47.242031
Gennes,3.77,4.02,3.76,-0.23149000000000003,47.340099
Gennetines,-1.73,-0.66,-1.73,2.9218100000000002,46.636089
Genneville,5.14,5.78,4.1,0.27541000000000004,49.36977
Gennevilliers,4.11,5.66,2.76,2.3,48.933331
Gensac,4.79,5.8,2.68,0.07293000000000001,44.805969
Gensac-la-Pallue,1.14,3.91,1.02,-0.25,45.650002
Gentilly,3.85,4.91,2.43,2.3417,48.812939
Ger,2.23,4.44,-0.45,-0.05,43.25
Gerde,-1.39,-1.39,-1.59,0.16688,43.055672
Gerderest,0.48,5.26,-1.44,-0.18333000000000002,43.416672
Gergovie,-4.64,-4.64,-4.64,3.12582,45.711128
Gergy,0.75,2.18,-1.03,4.94527,46.875568
Gerstheim,1.04,3.3,-0.9,7.70308,48.38142
Gerzat,-3.02,-3.01,-3.03,3.14404,45.824322
Gespunsart,4.0,4.94,3.51,4.82926,49.82143
Gestel,6.15,7.02,5.23,-3.44245,47.803612
Geudertheim,1.76,3.49,-1.54,7.75188,48.724152
Gevrey-Chambertin,0.99,1.58,-1.63,4.96806,47.226139
Gevry,1.15,2.15,-2.18,5.44375,47.039719
Gex,1.01,2.78,-3.4,6.06667,46.333328
Geyssans,-0.07,1.99,-0.44,5.09552,45.122551
Ghisonaccia,7.87,7.94,5.9,9.40412,42.016209
Ghyvelde,6.74,7.77,5.08,2.52642,51.05275
Giat,-5.89,-5.87,-5.92,2.46921,45.801102
Giberville,5.47,6.37,5.36,-0.28386,49.18158
Gibret,3.21,7.55,-0.02,-0.82152,43.686871
Gidy,1.62,3.02,0.99,1.83816,47.98539
Gien,0.83,2.51,0.28,2.63094,47.693321
Gif-sur-Yvette,3.58,4.87,1.98,2.13333,48.683331
Gigean,1.46,3.32,0.85,3.71167,43.500278
Gignac,1.53,1.53,0.63,3.5509,43.652
Gignac-la-Nerthe,-0.3,11.27,-3.15,5.23348,43.391449
Gilette,7.33,10.79,1.22,7.16349,43.847881
Gilley,-0.16,2.99,-6.6,6.48257,47.047401
Gillonnay,0.25,3.06,-3.46,5.29586,45.3937
Gimont,6.48,7.3,1.97,0.87655,43.62627
Ginasservis,-0.67,8.96,-4.3,5.84925,43.671131
Gindou,-0.24,4.69,-3.55,1.24991,44.630611
Ginestas,5.59,7.39,4.36,2.87038,43.266449
Ginestet,1.29,5.53,-2.45,0.42891,44.909439
Giou-de-Mamou,1.52,2.98,-4.21,2.51571,44.932549
Girac,7.08,7.08,5.24,1.81013,44.917301
Giraumont,3.43,5.75,0.84,5.91159,49.17313
Giromagny,0.5,1.36,-1.08,6.82671,47.741459
Gironde-sur-Dropt,5.57,5.93,-1.8,-0.08333,44.583328
Giroussens,6.64,8.07,4.86,1.77608,43.76199
Giscos,4.41,5.38,-0.31,-0.17151000000000002,44.271931
Gisors,4.91,6.3,2.68,1.7801,49.28178
Givenchy-en-Gohelle,5.3,6.47,4.05,2.7732,50.3908
Givet,4.6,5.4,2.11,4.82545,50.137959
