city,temp,temp_max,temp_min,lon,lat
Alles-sur-Dordogne,1.93,7.53,-1.56,0.86667,44.849998
Alleuze,5.77,6.16,5.38,3.1,44.950001
Allevard,2.16,4.91,-1.93,6.0713,45.393372
Allex,2.63,2.79,2.07,4.91757,44.764542
Allez-et-Cazeneuve,6.23,9.21,3.99,0.61667,44.400002
Allier,0.61,8.17,-2.03,0.7835200000000001,44.998501
Allinges,0.84,3.36,-2.26,6.46363,46.336578
Allonne,5.84,6.45,4.6,2.11427,49.40863
Allonnes,5.62,6.31,3.83,0.02458,47.293381
Allons,5.65,7.04,2.55,-0.05371000000000001,44.201591
Allonzier-la-Caille,0.48,1.57,-3.3,6.11776,46.003521
Allouagne,7.66,8.45,6.5,2.51194,50.53167
Ally,6.43,6.48,6.38,2.3166700000000002,45.166672
Allègre,-4.03,-3.89,-4.16,3.7,45.200001
Almenêches,6.3,6.32,5.85,0.11008000000000001,48.69709
Alsting,6.12,6.82,4.33,6.99397,49.181519
Alteckendorf,3.27,6.74,-1.16,7.59705,48.79166
Altenbach,-1.12,0.44,-4.41,7.0892,47.881489
Althen-des-Paluds,4.94,6.9,0.17,4.95861,44.004051
Altkirch,2.15,3.43,-1.62,7.25,47.616669
Altorf,2.07,4.84,-1.11,7.52787,48.52166
Alvignac,8.77,8.81,8.73,1.69489,44.827221
Alzonne,8.85,10.64,7.56,2.17808,43.25338
Alçay-Alçabéhéty-Sunharette,4.61,4.86,2.6,-0.90951,43.094681
Alès,2.86,6.12,2.05,4.08333,44.133331
Amancy,1.89,2.95,-1.91,6.32973,46.07449
Amanlis,7.31,8.01,6.42,-1.4767700000000001,48.007519
Amanvillers,4.32,6.0,1.81,6.0422,49.166908
Amargiers,-4.35,-4.35,-4.35,3.82719,44.854061
Amayé-sur-Orne,7.09,7.16,5.59,-0.43882000000000004,49.085411
Amayé-sur-Seulles,6.46,6.53,6.39,-0.7148800000000001,49.07983
Ambacourt,3.42,4.44,-1.01,6.14131,48.346111
Ambazac,5.18,5.18,3.02,1.40063,45.959831
Ambernac,5.18,8.53,2.49,0.5415,45.98
Ambert,-0.95,-0.95,-2.41,3.75,45.549999
Ambierle,-0.71,1.97,-2.25,3.89386,46.104111
Ambillou,4.98,5.69,4.36,0.44730000000000003,47.451
Amblainville,5.47,6.37,4.52,2.12242,49.20443
Ambleny,5.23,5.8,4.76,3.18448,49.380798
Ambleteuse,7.94,8.55,6.6,1.6038800000000002,50.807289
Amblie,7.32,7.35,5.79,-0.48735000000000006,49.29171
Amboise,5.18,5.3,4.16,0.9826600000000001,47.412491
Ambon,8.15,8.93,6.62,-2.55512,47.553669
Ambres,8.18,10.41,4.95,1.81284,43.73193
Ambricourt,7.37,7.9,5.92,2.17754,50.471218
Ambronay,0.51,3.96,-1.98,5.36107,46.004601
Ambrus,5.57,8.78,2.55,0.24633000000000002,44.228531
Ambutrix,2.08,4.02,-0.6,5.34029,45.938
Amfreville,6.54,7.12,5.59,-0.23333,49.25
Amfreville-la-Mi-Voie,6.17,6.9,5.43,1.13871,49.407551
Amfreville-les-Champs,6.35,7.21,4.63,1.3193000000000001,49.3102
Amiens,7.24,8.48,6.25,2.3,49.900002
Amilly,3.47,6.84,2.25,2.77186,47.972809
Ammerschwihr,2.28,4.04,0.03,7.28282,48.125481
Amou,5.17,8.19,3.06,-0.7467600000000001,43.592579
Ampilhac,-3.78,-3.78,-3.78,3.70141,45.131088
Amplepuis,-0.87,1.71,-1.71,4.3316,45.972599
Ampuis,2.33,3.58,-0.01,4.80879,45.489059
Ance,4.0,6.8,2.22,-0.7000000000000001,43.150002
Anceins,5.46,6.55,4.44,0.5,48.866669
Ancemont,5.05,5.83,2.65,5.40784,49.06842
Ancenis,6.56,6.82,5.68,-1.16667,47.366669
Ancerville,5.27,5.59,1.84,5.02091,48.635738
Ancteville,7.28,8.45,7.05,-1.47879,49.102779
Anctoville-sur-Boscq,7.12,7.53,6.84,-1.5321600000000002,48.843418
Ancy-le-Franc,0.55,4.1,0.55,4.16361,47.77586
Ancy-sur-Moselle,5.06,6.92,2.73,6.05816,49.056931
Andance,2.55,3.65,1.48,4.79798,45.240459
Andancette,2.62,3.7,1.53,4.80606,45.24242
Andard,5.78,6.51,5.61,-0.39752000000000004,47.456589
Andelaroche,0.06,1.96,-1.63,3.75046,46.25499
Andelat,5.36,5.75,4.97,3.06103,45.060009
Andelnans,2.74,5.4,-0.22,6.8672,47.60223
Andernos-les-Bains,2.84,5.68,0.12,-1.10355,44.74572
Andeville,5.02,5.93,4.09,2.16427,49.26078
Andilly,4.31,5.85,3.27,-1.02672,46.25425
Andiran,5.57,9.08,2.69,0.2773,44.097431
Andlau,1.66,4.38,-1.57,7.41697,48.38607
Andoins,3.62,4.68,2.62,-0.23333,43.299999
Andolsheim,2.38,4.35,0.79,7.41637,48.06179
Andres,7.67,8.62,6.67,1.92094,50.865559
Andrest,3.23,7.86,2.76,0.06405000000000001,43.319981
Androns,5.36,5.5,2.94,-0.5238,45.07214
Andrézieux-Bouthéon,-0.04,2.1,-1.39,4.2605,45.526501
Anduze,3.63,6.26,2.19,3.98545,44.054089
Anet,5.77,6.58,4.42,1.43981,48.856419
Anetz,6.15,6.23,5.64,-1.10583,47.3806
Angaïs,2.9,4.69,2.9,-0.25,43.23333
Angelane,-2.5,-2.5,-2.5,3.2459,45.328629
Angers,5.6,6.32,5.42,-0.55,47.466671
Angerville,4.51,6.05,2.86,1.9993500000000002,48.313541
Angervilliers,5.29,6.24,4.13,2.06542,48.592628
Angevillers,3.94,5.74,1.69,6.03913,49.38459
Angey,6.65,7.11,6.51,-1.49095,48.749439
Angicourt,5.54,6.54,4.82,2.50419,49.31176
Anglade,5.58,5.7,3.02,-0.6347700000000001,45.20887
Anglards-de-Saint-Flour,5.51,5.52,5.5,3.15209,44.98373
Anglards-de-Salers,6.59,7.43,5.76,2.45,45.216671
Angle Bas,-4.65,-3.46,-4.65,2.77074,45.71299
Anglefort,2.35,3.88,-1.55,5.80922,45.910728
Angles,4.25,4.51,3.27,-1.40389,46.40839
Anglet,6.04,9.17,3.67,-1.51346,43.476639
Angoulins,3.72,4.53,3.29,-1.10713,46.105259
Angoulême,3.95,8.91,2.53,0.15,45.650002
Angoumé,5.69,8.24,3.12,-1.13762,43.687489
Angous,4.78,7.45,3.07,-0.81422,43.292561
Angoville,6.11,6.11,4.58,-0.37927000000000005,48.944771
Angoville-au-Plain,8.8,8.84,7.16,-1.25381,49.34845
Angoville-sur-Ay,7.23,8.63,6.95,-1.54925,49.252918
Angres,7.4,8.23,6.28,2.76054,50.40572
Angresse,6.79,9.43,3.92,-1.37191,43.658089
Anguerny,7.06,7.08,5.56,-0.40143,49.266621
Anguilcourt-le-Sart,7.38,7.49,7.09,3.43409,49.689419
Angy,5.73,6.65,4.8,2.3285400000000003,49.32975
Anhaux,4.07,8.04,2.35,-1.29086,43.168049
Anhiers,7.55,8.53,6.25,3.15512,50.407372
Aniane,4.27,4.54,3.64,3.58747,43.684479
Aniche,7.24,8.33,6.05,3.25346,50.32996
Anisy,7.1,7.14,5.6,-0.39116,49.25069
