city,temp,temp_max,temp_min
Alleuze,6.16,6.16,6.16
Allevard,2.16,4.91,-1.93
Allex,2.63,2.79,2.07
Allez-et-Cazeneuve,6.23,9.21,3.99
Allez-et-Cazeneuve,6.23,9.21,3.99
Allier,2.57,8.17,-2.03
Allières-et-Risset,1.75,6.37,-0.47
Allinges,0.84,3.36,-2.26
Allonne,5.84,6.45,4.6
Allonnes,5.53,6.31,4.67
Allonnes,5.72,6.16,3.83
Allons,5.65,7.04,2.56
Allons,5.65,7.03,2.55
Allonzier-la-Caille,0.48,1.57,-3.3
Allouagne,7.66,8.45,6.5
Ally,6.48,6.48,6.48
Ally,6.38,6.38,6.38
Allègre,-3.89,-3.89,-3.89
Almenêches,6.29,6.29,5.85
Almenêches,6.32,6.32,5.88
Alsting,6.12,6.82,4.33
Alteckendorf,3.27,6.74,-1.16
Alteckendorf,3.28,6.74,-1.16
Altenbach,-1.12,0.44,-4.41
Althen-des-Paluds,4.94,6.9,0.17
Altkirch,2.15,3.43,-1.62
Altorf,2.07,4.84,-1.11
Alvignac,8.81,8.81,8.81
Alvignac,8.73,8.73,8.73
Alzonne,8.85,10.64,7.56
Alçay-Alçabéhéty-Sunharette,4.61,4.86,2.6
Alçay,4.51,4.75,2.49
Alès,2.86,6.12,2.05
Amancy,1.89,2.95,-1.91
Amanlis,7.31,8.01,6.42
Amanvillers,4.32,6,1.81
Amargiers,-4.35,-4.35,-4.35
Amayé-sur-Orne,7.11,7.16,5.64
Amayé-sur-Orne,7.07,7.12,5.59
Amayé-sur-Seulles,6.53,6.53,6.53
Amayé-sur-Seulles,6.39,6.39,6.39
Ambacourt,3.38,4.38,-1.01
Ambacourt,3.45,4.44,-0.95
Ambarès-et-Lagrave,5.37,5.61,0.05
Ambazac,5.18,5.18,3.02
Ambérieu-en-Bugey,1.02,4.11,-1.83
Ambérieux-en-Dombes,0.21,2.62,-2.19
Ambernac,5.25,8.53,2.71
Ambernac,5.11,8.31,2.49
Ambert,-0.95,-0.95,-2.41
Ambès,5.65,5.68,5.28
Ambierle,-0.61,1.97,-2.15
Ambierle,-0.82,1.87,-2.25
Ambillou,4.98,5.69,4.36
Amblainville,5.47,6.37,4.52
Ambleny,5.23,5.8,4.76
Ambleteuse,7.94,8.55,6.6
Amblie,7.31,7.31,5.79
Amblie,7.34,7.35,5.82
Amboise,5.18,5.3,4.16
Ambon,8.15,8.93,6.62
Ambres,8.24,10.41,5.08
Ambres,8.12,10.28,4.95
Ambricourt,7.38,7.9,5.96
Ambricourt,7.35,7.86,5.92
Ambrières-les-Vallées,5.77,5.77,5.77
Ambronay,0.51,3.96,-1.98
Ambrus,5.57,8.78,2.55
Ambrus,5.57,8.78,2.55
Ambutrix,2.1,4.02,-0.53
Ambutrix,2.06,3.95,-0.6
Amfreville,6.54,7.12,5.59
Amfreville,6.54,7.12,5.59
Amfreville-la-Mi-Voie,6.17,6.9,5.43
Amfreville-les-Champs,6.49,7.21,4.92
Amfreville-les-Champs,6.21,6.92,4.63
Amiens,7.24,8.48,6.25
Amiens,7.24,8.48,6.25
Amilly,4.19,6.84,3.81
Amilly,2.75,4.46,2.25
Ammerschwihr,2.28,4.04,0.03
Amnéville,5.39,7.01,2.83
Amou,5.17,8.19,3.06
Ampilhac,-3.78,-3.78,-3.78
Amplepuis,-0.87,1.71,-1.71
Ampuis,2.26,3.42,-0.01
Ampuis,2.39,3.58,0.16
Ance,4,6.8,2.22
Ance,4,6.8,2.22
Anceins,5.39,6.4,4.44
Anceins,5.53,6.55,4.58
Ancemont,5.09,5.83,2.73
Ancemont,5.02,5.75,2.65
Ancenis,6.56,6.82,5.68
Ancerville,5.27,5.59,1.84
Ancône,3.2,6.63,2.56
Ancteville,7.25,8.4,7.05
Ancteville,7.3,8.45,7.1
Anctoville-sur-Boscq,7.18,7.53,6.96
Anctoville-sur-Boscq,7.06,7.42,6.84
Ancy-le-Franc,0.55,4.1,0.55
Ancy-sur-Moselle,5.06,6.92,2.73
Andance,2.55,3.65,1.48
Andancette,2.62,3.7,1.53
Andard,5.78,6.51,5.61
Andé,7.02,7.75,5.45
Andelaroche,-0.02,1.83,-1.63
Andelaroche,0.13,1.96,-1.5
Andelat,4.97,4.97,4.97
Andelat,5.75,5.75,5.75
Andelnans,2.74,5.4,-0.22
Andernos-les-Bains,2.84,5.68,0.12
Andeville,5.02,5.93,4.09
Andilly,4.81,5.85,4.01
Andilly,3.82,4.5,3.27
Andiran,5.63,9.08,2.85
Andiran,5.51,8.93,2.69
Andlau,1.66,4.38,-1.57
Andoins,3.62,4.68,2.62
Andoins,3.62,4.68,2.62
Andolsheim,2.38,4.35,0.79
Andouillé,6.12,6.12,6.12
Andres,7.67,8.62,6.67
Andrest,3.23,7.86,2.76
Andrésy,5.69,6.64,4.53
Andrezé,5.52,5.71,5.13
Andrézieux-Bouthéon,0.02,2.1,-1.32
Androns,5.36,5.5,2.94
Andrézieux-Bouthéon,-0.1,2.04,-1.39
Anduze,3.63,6.26,2.19
Anet,5.77,6.58,4.42
Anetz,6.15,6.23,5.64
Angaïs,2.9,4.69,2.9
Angaïs,2.9,4.69,2.9
Angelane,-2.5,-2.5,-2.5
Angers,5.6,6.32,5.42
Angers,5.6,6.32,5.42
Angerville,4.51,6.05,2.86
Angervilliers,5.29,6.24,4.13
Angevillers,3.94,5.74,1.69
Angey,6.66,7.11,6.53
Angey,6.64,7.09,6.51
Angicourt,5.54,6.54,4.82
Anglade,5.65,5.7,3.14
Anglade,5.52,5.58,3.02
Anglards-de-Saint-Flour,5.5,5.5,5.5
Anglards-de-Saint-Flour,5.52,5.52,5.52
Anglards-de-Salers,5.76,5.76,5.76
Anglards-de-Salers,7.43,7.43,7.43
Angle Bas,-4.65,-3.46,-4.65
Anglefort,1.88,2.91,-1.55
Anglefort,2.83,3.88,-0.58
Angles,4.25,4.51,3.27
Anglet,5.98,9.17,3.67
Anglet,6.1,8.71,3.76
Angoulême,3.95,8.91,2.53
Angoulins,3.72,4.53,3.29
Angoulême,3.95,8.91,2.53
Angoumé,5.68,8.24,3.12
Angoumé,5.69,8.24,3.12
Angous,4.8,7.45,3.14
Angous,4.75,7.39,3.07
Angoville,6.11,6.11,4.58
Angoville,6.11,6.11,4.58
Angoville-au-Plain,8.82,8.84,7.19
Angoville-au-Plain,8.78,8.8,7.16
Angoville-sur-Ay,7.18,8.6,6.95
Angoville-sur-Ay,7.29,8.63,6.98
Angres,7.4,8.23,6.28
Angresse,6.8,9.43,3.93
Angresse,6.78,9.42,3.92
Colomby-Anguerny,7.06,7.08,5.56
Anguerny,7.06,7.08,5.56
Anguilcourt-le-Sart,7.38,7.49,7.09
Anguilcourt-le-Sart,7.38,7.49,7.09
Angy,5.73,6.65,4.8
Anhaux,4.02,7.93,2.35
Anhaux,4.12,8.04,2.45
Anhiers,7.55,8.53,6.25
Aniane,4.27,4.54,3.64
Aniche,7.24,8.33,6.05
Anisy,7.1,7.14,5.61
Anisy,7.1,7.13,5.6
Anizy-le-Château,4.76,4.76,4.1
Anliac,-4.98,5.01,-4.98
Annay,7.59,8.44,6.49
Annebault,5.48,6.55,5.03
Annebault,5.48,6.55,5.02
Annebecq,6.69,6.69,6.69
Annecy,1.67,5.2,-1.77
Annecy,1.67,5.2,-1.77
Annecy-le-Vieux,1.53,3.17,-1.95
Annecy-le-Vieux,1.41,3.02,-2.09
Annemasse,2.01,3.83,-1.79
Annemasse,2.1,3.89,-1.73
Annequin,7.54,8.14,6.49
Annesse-et-Beaulieu,5.07,9.07,-1.14
Annet-sur-Marne,5.42,6.65,4.8
Anneville-en-Saire,8.84,8.84,8.84
Anneville-en-Saire,8.82,8.82,8.82
Anneville-sur-Mer,7.37,8.82,7.17
Anneville-sur-Mer,7.39,8.82,7.17
Anneyron,2.32,3.23,1.06
Annezin,7.52,8.17,6.53
Annoeullin,7.62,8.14,6.54
Annonay,0.63,2.12,0.1
Annonay,0.89,2.37,0.36
Annot,5.82,7.72,0.38
Annoville,7.19,7.38,7.07
Annoville,7.23,7.42,7.1
Annoeullin,7.63,8.15,6.55
Anor,4.86,5.71,3.53
Anould,1.84,2.39,-2.29
Anould,1.78,2.35,-2.33
Anoye,3.87,6.1,1.84
Anoye,3.87,6.1,1.84
Ansauvillers,5.65,6.88,4.19
Anse,0.54,3.45,-1.91
Ansouis,0.56,5.53,-1.2
Anstaing,7.5,8.08,6.16
Antagnac,6.15,6.96,2.48
Antagnac,6.18,6.97,2.49
Anteuil,1.87,4.69,-2.76
Anteuil,1.83,4.7,-2.75
Antezant-la-Chapelle,3.37,3.97,3
Antezant-la-Chapelle,3.37,3.97,3
Anthy-sur-Léman,1.62,4.03,-1.6
Anthé,5.18,8.6,-1.69
Anthé,5.18,8.6,-1.69
Antibes,9.85,12.24,4.9
Antibes,9.6,12.04,4.7
Antignac,7.75,7.75,-2.25
Antignac,7.45,7.45,-2.54
Antigny,3.4,4.06,3.17
Antoingt,-2.03,-2.03,-2.03
Antoingt,-2.1,-2.1,-2.1
Antonaves,2.23,2.23,2.23
Antonaves,2.71,2.71,2.71
Antonne-et-Trigonant,6.16,8.84,-1.36
Antonne,6.04,8.78,-1.42
