city,temp,temp_max,temp_min
Amblie,7.32,7.33,5.8
Amboise,5.18,5.3,4.16
Ambon,8.15,8.93,6.62
Ambres,8.18,10.34,5.02
Ambricourt,7.37,7.88,5.94
Ambrières-les-Vallées,5.77,5.77,5.77
Ambronay,0.51,3.96,-1.98
Ambrus,5.57,8.78,2.55
Ambutrix,2.08,3.98,-0.56
Amfreville,6.54,7.12,5.59
Amfreville-la-Mi-Voie,6.17,6.9,5.43
Amfreville-les-Champs,6.35,7.06,4.78
Amiens,7.24,8.48,6.25
Amilly,3.47,5.65,3.03
Ammerschwihr,2.28,4.04,0.03
Amnéville,5.39,7.01,2.83
Amou,5.17,8.19,3.06
Ampilhac,-3.78,-3.78,-3.78
Amplepuis,-0.87,1.71,-1.71
Ampuis,2.33,3.5,0.07
Ance,4.0,6.8,2.22
Anceins,5.46,6.47,4.51
Ancemont,5.05,5.79,2.69
Ancenis,6.56,6.82,5.68
Ancerville,5.27,5.59,1.84
Ancône,3.2,6.63,2.56
Ancteville,7.28,8.43,7.07
Anctoville-sur-Boscq,7.12,7.47,6.9
Ancy-le-Franc,0.55,4.1,0.55
Ancy-sur-Moselle,5.06,6.92,2.73
Andance,2.55,3.65,1.48
Andancette,2.62,3.7,1.53
Andard,5.78,6.51,5.61
Andé,7.02,7.75,5.45
Andelaroche,0.06,1.9,-1.56
Andelat,5.36,5.36,5.36
Andelnans,2.74,5.4,-0.22
Andernos-les-Bains,2.84,5.68,0.12
Andeville,5.02,5.93,4.09
Andilly,4.31,5.17,3.64
Andiran,5.57,9.0,2.77
Andlau,1.66,4.38,-1.57
Andoins,3.62,4.68,2.62
Andolsheim,2.38,4.35,0.79
Andouillé,6.12,6.12,6.12
Andres,7.67,8.62,6.67
Andrest,3.23,7.86,2.76
Andrésy,5.69,6.64,4.53
Andrezé,5.52,5.71,5.13
Andrézieux-Bouthéon,0.02,2.1,-1.32
Androns,5.36,5.5,2.94
Andrézieux-Bouthéon,-0.1,2.04,-1.39
Anduze,3.63,6.26,2.19
Anet,5.77,6.58,4.42
Anetz,6.15,6.23,5.64
Angaïs,2.9,4.69,2.9
Angelane,-2.5,-2.5,-2.5
Angers,5.6,6.32,5.42
Angerville,4.51,6.05,2.86
Angervilliers,5.29,6.24,4.13
Angevillers,3.94,5.74,1.69
Angey,6.65,7.1,6.52
Angicourt,5.54,6.54,4.82
Anglade,5.58,5.64,3.08
Anglards-de-Saint-Flour,5.51,5.51,5.51
Anglards-de-Salers,6.59,6.59,6.59
Angle Bas,-4.65,-3.46,-4.65
Anglefort,2.35,3.4,-1.06
Angles,4.25,4.51,3.27
Anglet,6.04,8.94,3.71
Angoulême,3.95,8.91,2.53
Angoulins,3.72,4.53,3.29
Angoulême,3.95,8.91,2.53
Angoumé,5.69,8.24,3.12
Angous,4.78,7.42,3.1
Angoville,6.11,6.11,4.58
Angoville-au-Plain,8.8,8.82,7.18
Angoville-sur-Ay,7.23,8.62,6.96
Angres,7.4,8.23,6.28
Angresse,6.79,9.43,3.92
Colomby-Anguerny,7.06,7.08,5.56
Anguilcourt-le-Sart,7.38,7.49,7.09
Angy,5.73,6.65,4.8
Anhaux,4.07,7.98,2.4
Anhiers,7.55,8.53,6.25
Aniane,4.27,4.54,3.64
Aniche,7.24,8.33,6.05
Anisy,7.1,7.13,5.61
Anizy-le-Château,4.76,4.76,4.1
Anliac,-4.98,5.01,-4.98
Annay,7.59,8.44,6.49
Annebault,5.48,6.55,5.03
Annebecq,6.69,6.69,6.69
Annecy,1.67,5.2,-1.77
Annecy-le-Vieux,1.47,3.09,-2.02
Annemasse,2.05,3.86,-1.76
Annequin,7.54,8.14,6.49
Annesse-et-Beaulieu,5.07,9.07,-1.14
Annet-sur-Marne,5.42,6.65,4.8
Anneville-en-Saire,8.83,8.83,8.83
Anneville-sur-Mer,7.38,8.82,7.17
Anneyron,2.32,3.23,1.06
Annezin,7.52,8.17,6.53
Annoeullin,7.62,8.14,6.54
Annonay,0.76,2.25,0.23
Annot,5.82,7.72,0.38
Annoville,7.21,7.4,7.08
Annoeullin,7.63,8.15,6.55
Anor,4.86,5.71,3.53
Anould,1.81,2.37,-2.31
Anoye,3.87,6.1,1.84
Ansauvillers,5.65,6.88,4.19
Anse,0.54,3.45,-1.91
Ansouis,0.56,5.53,-1.2
Anstaing,7.5,8.08,6.16
Antagnac,6.17,6.96,2.49
Anteuil,1.85,4.7,-2.75
Antezant-la-Chapelle,3.37,3.97,3.0
Anthy-sur-Léman,1.62,4.03,-1.6
Anthé,5.18,8.6,-1.69
Antibes,9.72,12.14,4.8
Antignac,7.6,7.6,-2.4
Antigny,3.4,4.06,3.17
Antoingt,-2.06,-2.06,-2.06
Antonaves,2.47,2.47,2.47
Antonne-et-Trigonant,6.1,8.81,-1.39
Antony,5.64,6.64,4.53
Antrain,7.24,7.97,6.05
Antran,4.25,5.37,3.69
Anzat-le-Luguet,-6.12,3.88,-6.12
Anzin,6.82,7.99,5.25
Anzin-Saint-Aubin,7.35,7.86,6.86
Aoste,2.71,4.79,-0.2
Aouste-sur-Sye,2.25,2.38,1.03
Apchat,-3.33,-3.33,-3.33
Apcher,-6.59,3.4,-6.59
Appeville,8.69,8.83,7.18
Appietto,7.18,7.29,-1.61
Appilly,6.71,7.54,4.84
Appoigny,2.75,2.75,1.09
Apprieu,0.54,2.9,-2.09
Apremont,4.82,6.84,4.4
Apt,-1.06,4.89,-1.84
Arâches-la-Frasse,-2.31,0.42,-6.15
Aramits,3.73,5.95,1.92
Aramon,5.49,7.01,2.94
Arance,5.33,7.91,2.79
Arancou,5.55,8.06,2.94
Araules,-4.16,-4.16,-4.16
Arbanats,5.33,7.02,-0.01
Arbent,-0.23,2.3,-4.47
Porte-de-Benauge,5.56,7.58,5.03
Arbois,0.03,4.8,-1.73
Arbonne,5.98,8.8,3.84
Arbonne-la-Forêt,5.12,6.44,3.54
Arbouans,3.04,5.41,1.76
Arboucave,4.88,5.83,2.75
Arbouet-Sussaute,5.27,7.89,3.39
Arbus,5.06,5.57,2.49
Arc-et-Senans,0.21,5.23,-1.3
Arc-lès-Gray,0.57,3.23,-1.08
Arc-sur-Tille,1.43,3.1,-1.2
Arcachon,-0.04,5.15,-0.05
Arcangues,5.78,8.57,3.62
Arcey,1.67,5.21,-2.23
Archamps,1.76,2.62,-2.25
Arches,5.51,5.86,5.12
Archettes,2.76,3.81,1.58
Archigny,4.14,4.14,3.18
Arcins,5.45,5.67,0.11
Arcis-sur-Aube,2.75,6.25,1.08
Arcizans-Avant,0.39,4.11,0.3
Arçonnay,4.57,4.57,4.57
Arconsat,-3.56,-0.39,-3.85
Arcueil,5.64,6.65,4.54
Ardentes,2.9,3.47,0.65
Ardes,-3.03,-3.03,-3.03
Ardin,3.33,4.37,3.3
Ardres,7.56,8.26,6.61
Arengosse,4.57,7.97,-0.38
Arenthon,1.88,3.84,-1.78
Arès,2.81,5.66,0.1
Arette,3.79,5.93,2.12
Arfeuilles,-4.58,-3.39,-4.58
Argagnon,5.25,8.02,2.9
Arganchy,7.18,8.61,5.67
Argancy,5.42,7.03,2.43
Argeles,8.6,9.56,6.62
Argelès-Gazost,1.1,4.9,1.09
Argeliers,8.68,11.19,5.87
Argences,6.88,7.37,5.83
Argent-sur-Sauldre,3.25,4.01,1.79
Argentan,6.4,6.4,4.87
Argentat,9.88,9.88,4.23
Argenteuil,5.66,6.73,4.62
Argenton,6.76,7.5,-1.03
Argenton-les-Vallées,4.93,5.64,2.99
Argenton-sur-Creuse,4.19,4.19,4.19
Argentré,6.01,6.01,5.14
Argentré-du-Plessis,6.02,6.03,5.62
Arget,4.1,5.71,2.63
Argouges,6.8,7.12,5.96
Arinthod,-1.31,3.04,-3.73
Arlanc,-1.8,-1.8,-2.77
Arles,5.63,7.46,2.43
Arlet,2.34,2.34,2.34
Arleuf,-0.65,-0.65,-0.65
Arleux,7.08,7.83,6.11
Armbouts-Cappel,7.36,8.34,6.68
Armendarits,5.28,8.54,3.04
Armenonville-les-Gâtineaux,4.97,6.25,4.14
Armentières,7.41,8.23,6.25
Armentières-en-Brie,4.99,6.54,4.14
Armentières,7.4,8.21,6.23
Armillac,5.51,7.19,-1.35
Armissan,7.9,9.76,7.0
Armoy,-0.21,2.66,-3.9
Arnac,6.15,6.15,6.15
Arnac-Pompadour,3.06,7.12,3.04
Arnac-la-Poste,5.67,5.67,5.67
Arnage,5.46,6.21,4.72
Arnas,0.46,3.35,-2.01
Arnay-le-Duc,1.51,2.2,-1.14
Arnèke,7.26,8.19,6.54
Arnières-sur-Iton,6.19,7.04,4.35
Arnos,3.18,5.24,2.16
Arnouville,5.29,6.53,4.14
Aron,5.76,5.76,5.76
Aroue-Ithorots-Olhaïby,4.55,7.72,3.42
Arpajon,5.48,6.6,4.2
Arpajon-sur-Cère,6.17,6.17,2.82
Arpajon-sur-Cère,6.18,6.18,2.83
Arpheuilles-Saint-Priest,-1.01,-1.01,-2.2
Arques,7.46,8.27,6.62
Arques-la-Bataille,7.17,7.5,5.83
Arradon,8.3,8.8,6.49
Arras,6.96,7.61,6.3
Arrast-Larrebieu,3.96,7.44,3.13
Arraute-Charritte,5.87,7.96,3.46
Arricau-Bordes,3.09,7.92,1.8
Arrondissement d'Abbeville,7.17,7.78,6.66
Arrondissement d'Agen,7.93,9.13,5.81
Arrondissement d'Aix-en-Provence,1.38,11.36,-2.46
Arrondissement d'Ajaccio,6.73,6.99,3.27
Arrondissement d'Albertville,-8.18,-5.61,-11.91
Arrondissement d'Albi,8.01,10.47,5.15
Arrondissement d'Alençon,5.78,5.78,5.78
Arrondissement d'Altkirch,2.1,3.01,-0.54
Arrondissement d'Alès,2.64,5.82,1.75
Arrondissement d'Ambert,-5.34,-4.87,-5.34
Arrondissement d'Amiens,6.63,7.57,5.9
Arrondissement d'Ancenis,6.07,6.81,5.57
Arrondissement d'Angers,5.57,6.27,5.37
Arrondissement d'Angoulême,4.39,9.29,2.9
Arrondissement d'Annecy,0.79,2.45,-2.66
Arrondissement d'Antony,5.5,6.59,4.19
Arrondissement d'Apt,-1.62,4.46,-2.27
Arrondissement d'Arcachon,0.04,5.23,0.03
Arrondissement d'Argelès-Gazost,-2.93,-0.18,-4.19
Arrondissement d'Argentan,6.47,6.47,6.47
Arrondissement d'Argenteuil,5.59,6.76,4.36
Arrondissement d'Arles,4.95,6.94,2.92
Arrondissement d'Arras,6.67,7.34,6.04
Arrondissement d'Aubusson,-1.13,-1.13,-1.13
Arrondissement d'Auch,7.21,8.48,4.78
Arrondissement d'Aurillac,5.05,5.05,1.7
Arrondissement d'Autun,0.86,1.79,-0.89
Arrondissement d'Auxerre,1.74,1.74,1.74
Arrondissement d'Avallon,1.71,1.71,1.71
Arrondissement d'Avesnes-sur-Helpe,5.3,6.52,4.14
Arrondissement d'Avignon,4.65,6.46,2.4
Arrondissement d'Avranches,6.27,6.27,6.27
Arrondissement d'Issoire,-4.7,-4.7,-4.7
Arrondissement d'Issoudun,3.72,3.83,0.54
Arrondissement d'Istres,2.03,6.81,-1.92
Arrondissement d'Oloron-Sainte-Marie,1.83,4.05,1.79
Arrondissement d'Orléans,3.68,4.42,2.21
Arrondissement d'Ussel,0.67,0.67,0.67
Arrondissement d'Yssingeaux,-3.34,-3.34,-3.34
Arrondissement d'Épernay,4.62,5.11,0.53
Arrondissement d'Épinal,2.3,2.62,1.13
Arrondissement d'Étampes,5.26,6.51,3.05
Arrondissement d'Évreux,6.06,6.91,4.22
Arrondissement d'Évry,5.2,6.44,4.05
Arrondissement de Bagnères-de-Bigorre,-5.09,-1.28,-5.09
Arrondissement de Bar-le-Duc,4.02,4.61,0.1
Arrondissement de Bar-sur-Aube,3.07,4.35,0.19
Arrondissement de Barcelonnette,-4.63,0.45,-5.74
Arrondissement de Bastia,7.47,9.05,4.63
Arrondissement de Bayeux,7.21,8.63,7.21
Arrondissement de Bayonne,5.75,8.86,3.27
Arrondissement de Beaune,-0.06,0.9,-3.43
Arrondissement de Beauvais,5.84,7.11,4.62
Arrondissement de Belfort,2.53,3.27,0.26
Arrondissement de Bellac,5.92,5.92,5.92
Arrondissement de Belley,2.29,3.36,-0.55
Arrondissement de Bergerac,1.95,7.65,-0.88
Arrondissement de Bernay,5.81,6.62,4.94
Arrondissement de Besançon,-0.35,4.85,-2.08
Arrondissement de Blaye,5.28,5.33,2.77
Arrondissement de Blois,4.45,5.21,3.32
Arrondissement de Bobigny,5.42,6.64,4.25
Arrondissement de Bonneville,-6.2,-3.3,-9.87
Arrondissement de Bordeaux,5.0,5.39,-0.17
Arrondissement de Boulay-Moselle,5.1,6.25,2.07
Arrondissement de Boulogne-Billancourt,5.68,6.76,4.36
Arrondissement de Boulogne-sur-Mer,7.3,7.77,6.12
Arrondissement de Bourg-en-Bresse,-1.86,2.9,-2.47
Arrondissement de Bourges,1.48,3.65,0.36
Arrondissement de Bressuire,2.72,5.03,2.44
Arrondissement de Brest,7.94,8.17,7.25
Arrondissement de Briançon,-3.22,-0.91,-7.59
Arrondissement de Briey,4.64,5.62,1.41
Arrondissement de Brignoles,4.4,10.53,-0.16
Arrondissement de Brioude,2.66,2.66,2.66
Arrondissement de Brive-la-Gaillarde,3.49,3.49,3.49
Arrondissement de Béthune,7.46,8.2,6.55
Arrondissement de Béziers,4.53,9.31,1.98
Arrondissement de Caen,7.07,7.12,5.6
Arrondissement de Cahors,2.08,7.95,1.72
Arrondissement de Calais,7.99,8.34,7.0
Calvi,3.42,7.07,2.09
Arrondissement de Cambrai,6.38,7.4,5.68
Arrondissement de Carcassonne,8.32,10.66,5.34
Arrondissement de Carpentras,3.17,5.02,1.0
Arrondissement de Castellane,3.66,5.24,2.98
Arrondissement de Castelsarrasin,9.08,9.58,5.88
Arrondissement de Castres,8.77,10.12,7.37
Arrondissement de Chalon-sur-Saône,0.73,3.12,-2.22
Arrondissement de Chambéry,2.28,4.3,-0.14
Arrondissement de Charleville-Mézières,5.2,5.7,3.68
Arrondissement de Charolles,1.81,2.64,-0.6
Arrondissement de Chartres,4.31,6.03,3.92
Arrondissement de Chaumont,3.33,3.9,3.08
Arrondissement de Cherbourg,8.35,8.36,6.71
Arrondissement de Chinon,4.28,5.54,3.21
Arrondissement de Cholet,5.59,5.74,5.15
Arrondissement de Châlons-en-Champagne,3.99,5.62,2.45
Arrondissement de Château-Chinon (Ville),1.57,2.77,1.57
Arrondissement de Château-Gontier,6.19,6.28,5.38
Arrondissement de Château-Salins,4.33,6.67,2.49
Arrondissement de Château-Thierry,4.47,4.95,1.79
Arrondissement de Châteaubriant,6.14,6.55,5.71
Arrondissement de Châteaudun,3.59,5.38,2.82
Arrondissement de Châteaulin,7.86,7.97,7.05
Arrondissement de Châteauroux,3.96,3.96,3.49
Arrondissement de Châtellerault,3.94,4.42,2.64
Arrondissement de Clamecy,2.38,2.38,2.38
Arrondissement de Clermont,5.49,6.12,4.28
Arrondissement de Clermont-Ferrand,-4.37,-4.37,-4.37
Arrondissement de Cognac,2.97,5.34,2.78
Arrondissement de Colmar-Ribeauvillé,0.78,2.64,-0.82
Arrondissement de Commercy,3.66,4.92,2.16
Arrondissement de Compiègne,5.12,6.35,4.83
Arrondissement de Condom,6.15,8.8,2.57
Arrondissement de Confolens,5.55,8.38,2.56
Arrondissement de Corte,4.53,7.94,2.96
Arrondissement de Cosne-Cours-sur-Loire,1.36,1.36,-0.05
Arrondissement de Coutances,7.06,8.67,7.03
Arrondissement de Créteil,5.54,6.73,4.33
Arrondissement de Céret,7.51,8.92,2.41
Arrondissement de Dax,6.08,8.13,3.01
Arrondissement de Die,-2.4,0.35,-3.62
Arrondissement de Dieppe,6.19,6.77,5.1
Arrondissement de Digne-les-Bains,1.57,5.51,1.57
Arrondissement de Dijon,0.71,2.12,-1.21
Arrondissement de Dinan,6.75,7.34,5.56
Arrondissement de Dole,1.14,3.05,-1.28
Arrondissement de Douai,7.02,7.75,6.03
Arrondissement de Draguignan,3.14,10.92,0.23
Arrondissement de Dreux,4.9,5.84,3.81
Arrondissement de Dunkerque,7.24,8.2,6.55
Arrondissement de Figeac,7.21,7.21,3.86
Arrondissement de Florac,4.67,4.67,4.67
Arrondissement de Foix,-2.97,2.73,-3.18
Arrondissement de Fontainebleau,4.5,6.43,2.98
Arrondissement de Fontenay-le-Comte,4.02,4.25,2.87
Arrondissement de Forbach-Boulay-Moselle,5.6,6.71,3.57
Arrondissement de Forcalquier,-0.69,-0.69,-0.69
Arrondissement de Fougères-Vitré,5.78,6.66,5.5
Arrondissement de Gap,-5.65,-5.65,-9.41
Arrondissement de Gex,-5.29,-3.32,-10.85
Arrondissement de Gourdon,4.54,4.54,4.54
Arrondissement de Grasse,2.39,4.59,-2.76
Arrondissement de Grenoble,-5.47,-1.23,-7.52
Arrondissement de Guebwiller,2.51,4.23,0.78
Arrondissement de Guingamp,5.74,6.66,5.11
Arrondissement de Guéret,-1.78,3.55,-1.78
Arrondissement de Haguenau-Wissembourg,3.27,7.52,-1.0
Arrondissement de Jonzac,4.27,5.25,2.69
Arrondissement de L'Haÿ-les-Roses,5.24,6.38,3.98
Arrondissement de La Châtre,3.58,3.6,0.31
Arrondissement de La Flèche,5.79,6.42,5.46
Arrondissement de La Roche-sur-Yon,4.18,5.79,3.59
Arrondissement de La Rochelle,3.81,4.51,3.12
Arrondissement de La Tour-du-Pin,1.02,2.62,-2.31
Arrondissement de Langon,5.74,7.95,-0.32
Arrondissement de Langres,2.33,2.33,0.47
Arrondissement de Lannion,7.9,7.99,6.45
Arrondissement de Laon,4.14,6.49,4.14
Arrondissement de Largentière,-0.93,-0.21,-0.93
Arrondissement de Laval,6.04,6.04,5.17
Arrondissement de Lens,7.38,7.92,6.53
Arrondissement de Lesparre-Médoc,5.39,5.67,3.11
Arrondissement de Libourne,5.51,7.15,5.28
Arrondissement de Lille,7.22,7.73,6.35
Arrondissement de Limoges,4.66,7.23,2.6
Arrondissement de Limoux,5.4,6.39,4.5
Arrondissement de Lisieux,5.59,6.73,5.2
Arrondissement de Loches,4.61,4.83,3.15
Arrondissement de Lodève,2.45,5.62,2.38
Arrondissement de Lons-le-Saunier,-1.58,2.54,-4.42
Arrondissement de Lorient,8.05,8.27,7.67
Arrondissement de Louhans,-0.3,3.2,-2.1
Arrondissement de Lunéville,3.07,5.01,2.25
Arrondissement de Lure,-0.56,3.04,-1.35
Arrondissement de Lyon,-1.5,1.04,-2.95
Arrondissement de Mamers,4.61,4.61,4.61
Arrondissement de Mantes-la-Jolie,6.05,7.01,4.72
Arrondissement de Marmande,6.43,8.2,-0.89
Arrondissement de Marseille,2.92,9.92,-3.9
Arrondissement de Mauriac,5.5,5.5,5.5
Arrondissement de Mayenne,5.69,5.69,5.69
Arrondissement de Meaux,4.31,5.89,3.49
Arrondissement de Melun,4.39,6.38,2.92
Arrondissement de Mende,-1.49,-1.49,-1.49
Arrondissement de Metz-Campagne,4.85,6.49,2.31
Arrondissement de Metz,5.28,6.96,2.78
Arrondissement de Millau,4.42,7.22,4.07
Arrondissement de Mirande,5.58,8.1,1.87
Arrondissement de Molsheim,0.15,2.64,-3.31
Arrondissement de Mont-de-Marsan,4.5,8.02,-0.33
Arrondissement de Montargis,2.49,4.13,1.83
Arrondissement de Montauban,9.33,9.38,8.4
Arrondissement de Montbard,0.94,2.79,0.94
Arrondissement de Montbrison,-0.79,0.92,-1.79
Arrondissement de Montbéliard,2.04,4.31,-2.62
Arrondissement de Montdidier,6.88,7.05,5.76
Arrondissement de Montluçon,-0.06,-0.06,-0.63
Arrondissement de Montmorillon,3.88,4.14,2.36
Arrondissement de Montreuil,7.19,7.56,5.92
Arrondissement de Morlaix,7.55,8.09,7.18
Arrondissement de Mortagne-au-Perche,3.33,3.33,3.33
Arrondissement de Moulins,1.05,3.16,0.14
Arrondissement de Mulhouse,2.47,3.67,0.22
Arrondissement de Muret,6.52,8.69,5.72
Arrondissement de Mâcon,1.51,2.78,-2.56
Arrondissement de Nancy,3.38,5.07,2.31
Arrondissement de Nanterre,5.51,6.64,4.24
Arrondissement de Nantes,6.08,6.81,5.96
Arrondissement de Nantua,-2.01,0.94,-5.83
Arrondissement de Narbonne,7.81,10.31,6.12
Arrondissement de Neufchâteau,2.73,3.07,-1.59
Arrondissement de Nevers,-0.08,1.33,-0.08
Arrondissement de Nice,2.97,3.67,-3.68
Arrondissement de Niort,2.93,4.19,2.62
Arrondissement de Nogent-le-Rotrou,3.14,5.01,2.0
Arrondissement de Nogent-sur-Marne,5.15,6.43,4.04
Arrondissement de Nogent-sur-Seine,1.57,5.17,0.59
Arrondissement de Nontron,7.03,7.73,3.0
Arrondissement de Nyons,0.94,3.59,-0.48
Arrondissement de Nérac,5.28,8.77,2.54
Arrondissement de Nîmes,4.61,5.83,1.76
Arrondissement de Palaiseau,5.45,6.56,4.17
Arrondissement de Pamiers,4.45,6.87,-0.33
Arrondissement de Parthenay,2.27,3.71,1.94
Arrondissement de Pau,3.57,5.62,2.55
Arrondissement de Perpignan,7.74,8.56,5.79
Arrondissement de Pithiviers,4.09,6.2,3.01
Arrondissement de Poitiers,4.05,4.43,2.66
Arrondissement de Pontarlier,-1.76,1.08,-5.81
Arrondissement de Pontivy,7.58,7.91,7.01
Arrondissement de Pontoise,5.33,6.53,4.14
Arrondissement de Prades,-4.07,-1.26,-8.42
Arrondissement de Privas,1.64,5.31,0.85
Arrondissement de Provins,3.84,5.49,1.86
